랜드마크,호텔이름,금액,평점,등급
HollyWood Sign,Loews Hollywood Hotel,467031,4.3,4
HollyWood Sign,W Hollywood,541930,4.2,4
HollyWood Sign,Hampton Inn & Suites Los Angeles/Hollywood,271546,4.3,2
HollyWood Sign,Samesun Hollywood,216367,4.1,2
HollyWood Sign,Dream Hollywood,414875,4.2,4
HollyWood Sign,Super 8 by Wyndham Hollywood/LA Area,200061,3.1,2
London_Eye,Notting Hill Gate Hotel,135984,3.3,3
London_Eye,Mimi's Hotel Soho,261580,4.1,3
London_Eye,"Shakespeare Hotel London, Paddington",194969,3.5,3
London_Eye,London Marriott Hotel County Hall,1139131,4.4,5
London_Eye,London Waterloo Hostel,98304,3,2
London_Eye,Strand Palace,404024,4,4
London_Eye,"The Rose & Crown, London Bridge (PUBLOVE)",76568,4.2,1
London_Eye,Zedwell Piccadilly Circus,258508,4,3
London_Eye,Premier Inn London Tolworth hotel,110933,3.9,3
London_Eye,"Point A London, Paddington",398932,4,3
London_Eye,Park Plaza London Waterloo,458331,4.3,4
Colosseum,호텔 카포 데아 프리카,249429,4.5,4
Colosseum,임페리얼 룸스,243613,4.2,3
Colosseum,FH 그랜드 호텔,311625,4.2,4
Colosseum,프로푸모 메종 도테,146775,4.4,3
Colosseum,머큐어 로마 센트로 콜로세오,333242,4.3,4
Colosseum,레지던스 막시무스,172523,3.7,3
Colosseum,호텔 랑셀로트,222071,4.6,4
Colosseum,호텔 솔리스,232336,3.9,3
Colosseum,나키사 인,190796,3.6,3
Colosseum,호텔 파바,265034,4.5,2
CN_Tower,토론토 메리어트 시티 센터 호텔,339727,4.4,4
CN_Tower,힐튼 토론토,314087,4.2,4
CN_Tower,하얏트 리젠시 토론토,375483,4.2,4
CN_Tower,델타 호텔스 바이 메리어트 토론토,531171,4.6,4
CN_Tower,레디슨 어드미럴 토론토 하버프론트,422064,4.3,4
CN_Tower,페어몬트 로열 요크 호텔,384082,4.5,5
CN_Tower,더 리츠 칼튼 토론토,880130,4.6,5
CN_Tower,쉐라톤 센터 토론토 호텔,436457,4.3,4
CN_Tower,노보텔 토론토 센터,260252,4.2,4
CN_Tower,르 제르맹 호텔 메이플 리프 스퀘어,477609,4.6,4
Christ_the_Redeemer,JW 메리어트 호텔 리우 데 자네이루,478150,4.6,5
Christ_the_Redeemer,호텔 아틀란티코 트래블 코파카바나,230142,4,4
Christ_the_Redeemer,마제스틱 리우 팰리스 호텔,78688,4.1,3
Christ_the_Redeemer,인조이 호스텔,72687,4.7,2
Christ_the_Redeemer,마르 팰리스 코파카바나 호텔,140080,4.4,4
Christ_the_Redeemer,아메리카스 코파카바나 호텔,140901,4.4,4
Christ_the_Redeemer,프리미어 코바카바나 호텔,117757,4.1,3
Christ_the_Redeemer,밤부 리우 호스텔,33283,4.1,2
Christ_the_Redeemer,호텔 아스토리아 코바카바나,101215,4.2,3
Christ_the_Redeemer,올린다 리우 호텔,144150,4.4,3
Christ_the_Redeemer,호텔 반데이란테스,107617,4.1,3
Deoksugung,호텔스카이 파크 명동 2호점,88736,4,3
Deoksugung,밀리오레호텔 명동,87336,3.4,4
Deoksugung,프레지던트 호텔,121888,4,4
Deoksugung,호텔 그레이스리 서울,125199,4.3,4
Deoksugung,라마다 호텔앤스위트 바이 윈덤 서울 남대문,92430,3.9,4
Deoksugung,코리아나 호텔,143683,4,4
Deoksugung,신라스테이 서대문,136560,4.1,4
Deoksugung,뉴서울 호텔,100000,3.8,3
Deoksugung,나인트리 프리미어 호텔 인사동,122214,4.5,4
Deoksugung,소테츠 호텔즈 더 스프라지르 서울 명동,100500,4,4
Deoksugung,호텔스카이 파크 센트럴 명동점,98196,4,4
